"Tolerance","mm","0.17 mm","Tolerance to use when PLA/PETG parts mate with existing parts (like a a screw), or when you a very small amount of clearance at mating site."
"Tolerance_Tight","mm","0.155 mm","Tolerance to use when you want the parts to make contact at mating site."
"Tolerance_PressFitLight","mm","0.12 mm","Tolerance to use when you want the parts to press fit together, like Legos."
